,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:00Z,349,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:01Z,360,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:02Z,368,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:03Z,375,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:04Z,373,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:05Z,386,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:06Z,393,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:07Z,400,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:08Z,404,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:09Z,408,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:10Z,414,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:11Z,420,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:12Z,424,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:13Z,429,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:14Z,441,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:15Z,443,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:16Z,456,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:17Z,467,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:18Z,474,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:19Z,494,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:20Z,519,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:21Z,528,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:22Z,549,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:23Z,564,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:24Z,578,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:25Z,596,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:26Z,626,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:27Z,645,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:28Z,687,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:29Z,707,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:30Z,792,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:31Z,806,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:32Z,829,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:33Z,878,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:34Z,913,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:35Z,922,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:36Z,962,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
,_result,0,2026-06-02T09:02:48.873863712Z,2026-06-09T09:02:48.873863712Z,2026-06-09T08:56:37Z,1015,value,activeUsers,flashSaleBrowseOnly,e0085c85-6bed-4c48-8d4a-cc10e08697e9,v1
