,result,table,_start,_stop,_time,_value,_field,_measurement,scenario,testUUID,testVersion
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:42Z,395,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:43Z,404,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:44Z,414,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:45Z,424,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:46Z,433,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:47Z,442,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:48Z,449,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:49Z,459,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:50Z,469,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:51Z,479,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:52Z,489,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:53Z,499,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
,_result,0,2026-06-02T08:54:06.976047155Z,2026-06-09T08:54:06.976047155Z,2026-06-09T08:46:54Z,509,value,activeUsers,flashSaleBrowseOnly,96e749eb-3a05-43da-bc56-e3973aee446e,v1
